province,district,subdistrict,latitude,longitude
กรุงเทพมหานคร,พระนคร,พระบรมมหาราชวัง,13.751,100.492
กรุงเทพมหานคร,ดุสิต,ดุสิต,13.772,100.513
กรุงเทพมหานคร,หนองจอก,หนองจอก,13.869,100.885
กรุงเทพมหานคร,บางรัก,บางรัก,13.727,100.527
กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,13.868,100.606
กรุงเทพมหานคร,บางกะปิ,คลองจั่น,13.786,100.635
กรุงเทพมหานคร,ปทุมวัน,ปทุมวัน,13.740,100.535
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,13.743,100.514
กรุงเทพมหานคร,พระโขนง,บางจาก,13.692,100.626
กรุงเทพมหานคร,มีนบุรี,มีนบุรี,13.804,100.723
กรุงเทพมหานคร,ลาดกระบัง,ลาดกระบัง,13.723,100.771
กรุงเทพมหานคร,ยานนาวา,ช่องนนทรี,13.682,100.533
กรุงเทพมหานคร,สัมพันธวงศ์,สัมพันธวงศ์,13.739,100.511
กรุงเทพมหานคร,พญาไท,สามเสนใน,13.782,100.545
กรุงเทพมหานคร,ธนบุรี,วัดกัลยาณ์,13.737,100.493
กรุงเทพมหานคร,บางกอกใหญ่,วัดอรุณ,13.743,100.486
กรุงเทพมหานคร,ห้วยขวาง,ห้วยขวาง,13.769,100.577
กรุงเทพมหานคร,คลองสาน,คลองสาน,13.735,100.504
กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน,13.789,100.459
กรุงเทพมหานคร,บางกอกน้อย,ศิริราช,13.759,100.481
กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม,13.555,100.434
กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า,13.714,100.443
กรุงเทพมหานคร,หนองแขม,หนองแขม,13.680,100.358
กรุงเทพมหานคร,ราษฎร์บูรณะ,ราษฎร์บูรณะ,13.670,100.510
กรุงเทพมหานคร,บางพลัด,บางพลัด,13.791,100.487
กรุงเทพมหานคร,ดินแดง,ดินแดง,13.778,100.567
กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม,13.808,100.650
กรุงเทพมหานคร,สาทร,ทุ่งวัดดอน,13.710,100.532
กรุงเทพมหานคร,บางซื่อ,บางซื่อ,13.820,100.529
กรุงเทพมหานคร,จตุจักร,จตุจักร,null,null
กรุงเทพมหานคร,บางคอแหลม,บางคอแหลม,13.696,100.494
กรุงเทพมหานคร,ประเวศ,ประเวศ,13.719,100.664
กรุงเทพมหานคร,คลองเตย,คลองเตย,13.710,100.570
กรุงเทพมหานคร,สวนหลวง,สวนหลวง,13.726,100.628
กรุงเทพมหานคร,จอมทอง,จอมทอง,13.693,100.468
กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง,null,null
กรุงเทพมหานคร,ราชเทวี,ทุ่งพญาไท,13.763,100.530
กรุงเทพมหานคร,ลาดพร้าว,ลาดพร้าว,13.811,100.612
กรุงเทพมหานคร,วัฒนา,คลองเตยเหนือ,13.743,100.560
กรุงเทพมหานคร,บางแค,บางแค,13.698,100.409
กรุงเทพมหานคร,หลักสี่,ทุ่งสองห้อง,13.883,100.564
กรุงเทพมหานคร,สายไหม,สายไหม,13.921,100.654
กรุงเทพมหานคร,คันนายาว,คันนายาว,13.821,100.677
กรุงเทพมหานคร,สะพานสูง,สะพานสูง,13.761,100.688
กรุงเทพมหานคร,วังทองหลาง,วังทองหลาง,13.779,100.609
กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก,13.889,100.708
กรุงเทพมหานคร,บางนา,บางนา,13.672,100.616
กรุงเทพมหานคร,ทวีวัฒนา,ทวีวัฒนา,13.758,100.348
กรุงเทพมหานคร,ทุ่งครุ,ทุ่งครุ,13.614,100.497
กรุงเทพมหานคร,บางบอน,บางบอน,13.646,100.370
สมุทรปราการ,เมืองสมุทรปราการ,ปากน้ำ,null,null
สมุทรปราการ,บางบ่อ,บางบ่อ,13.611,100.862
สมุทรปราการ,บางพลี,บางพลีใหญ่,13.618,100.694
สมุทรปราการ,พระประแดง,ตลาด,13.671,100.520
สมุทรปราการ,พระสมุทรเจดีย์,นาเกลือ,13.530,100.494
สมุทรปราการ,บางเสาธง,บางเสาธง,13.600,100.815
นนทบุรี,เมืองนนทบุรี,สวนใหญ่,13.842,100.494
นนทบุรี,บางกรวย,บางกรวย,13.809,100.499
นนทบุรี,บางใหญ่,บางใหญ่,13.837,100.375
นนทบุรี,บางบัวทอง,บางบัวทอง,13.944,100.390
นนทบุรี,ไทรน้อย,ไทรน้อย,13.976,100.344
นนทบุรี,ปากเกร็ด,ปากเกร็ด,13.912,100.506
ปทุมธานี,เมืองปทุมธานี,บางปรอก,14.012,100.528
ปทุมธานี,คลองหลวง,คลองหนึ่ง,14.066,100.607
ปทุมธานี,ธัญบุรี,ประชาธิปัตย์,13.987,100.632
ปทุมธานี,หนองเสือ,บึงบา,14.112,100.824
ปทุมธานี,ลาดหลุมแก้ว,ลาดหลุมแก้ว,14.006,100.410
ปทุมธานี,ลำลูกกา,ลำลูกกา,13.972,100.774
ปทุมธานี,สามโคก,สามโคก,14.052,100.529
พระนครศรีอยุธยา,พระนครศรีอยุธยา,ประตูชัย,14.349,100.551
พระนครศรีอยุธยา,ท่าเรือ,ท่าเรือ,14.566,100.719
พระนครศรีอยุธยา,นครหลวง,นครหลวง,14.469,100.622
พระนครศรีอยุธยา,บางไทร,บางไทร,14.191,100.480
พระนครศรีอยุธยา,บางบาล,บางบาล,14.410,100.464
พระนครศรีอยุธยา,บางปะอิน,บ้านเลน,14.241,100.598
พระนครศรีอยุธยา,บางปะหัน,บางปะหัน,14.458,100.558
พระนครศรีอยุธยา,ผักไห่,ผักไห่,14.462,100.379
พระนครศรีอยุธยา,ภาชี,ภาชี,14.442,100.725
พระนครศรีอยุธยา,ลาดบัวหลวง,ลาดบัวหลวง,14.193,100.319
พระนครศรีอยุธยา,วังน้อย,วังน้อย,14.201,100.699
พระนครศรีอยุธยา,เสนา,เสนา,14.328,100.404
พระนครศรีอยุธยา,บางซ้าย,บางซ้าย,14.314,100.286
พระนครศรีอยุธยา,อุทัย,อุทัย,14.373,100.655
พระนครศรีอยุธยา,มหาราช,มหาราช,14.552,100.528
พระนครศรีอยุธยา,บ้านแพรก,บ้านแพรก,14.640,100.585
อ่างทอง,เมืองอ่างทอง,ตลาดหลวง,14.592,100.453
อ่างทอง,ไชโย,ไชโย,14.707,100.436
อ่างทอง,ป่าโมก,ป่าโมก,14.501,100.437
อ่างทอง,โพธิ์ทอง,อ่างแก้ว,14.666,100.393
อ่างทอง,แสวงหา,แสวงหา,14.763,100.310
อ่างทอง,วิเศษชัยชาญ,ไผ่จำศิล,null,null
อ่างทอง,สามโก้,สามโก้,14.606,100.252
ลพบุรี,เมืองลพบุรี,ทะเลชุบศร,14.804,100.634
ลพบุรี,พัฒนานิคม,พัฒนานิคม,14.896,100.966
ลพบุรี,โคกสำโรง,โคกสำโรง,15.071,100.713
ลพบุรี,ชัยบาดาล,ชัยบาดาล,15.095,101.058
ลพบุรี,ท่าวุ้ง,ท่าวุ้ง,14.820,100.496
ลพบุรี,บ้านหมี่,บ้านหมี่,null,null
ลพบุรี,ท่าหลวง,ท่าหลวง,15.071,101.117
ลพบุรี,สระโบสถ์,สระโบสถ์,15.224,100.846
ลพบุรี,โคกเจริญ,โคกเจริญ,15.408,100.777
ลพบุรี,ลำสนธิ,ลำสนธิ,15.341,101.362
ลพบุรี,หนองม่วง,หนองม่วง,15.230,100.664
สิงห์บุรี,เมืองสิงห์บุรี,บางพุทรา,14.890,100.404
สิงห์บุรี,บางระจัน,สิงห์,14.890,100.338
สิงห์บุรี,ค่ายบางระจัน,โพทะเล,14.829,100.257
สิงห์บุรี,พรหมบุรี,พรหมบุรี,14.837,100.451
สิงห์บุรี,ท่าช้าง,ถอนสมอ,14.765,100.384
สิงห์บุรี,อินทร์บุรี,อินทร์บุรี,15.009,100.329
ชัยนาท,เมืองชัยนาท,ในเมือง,15.181,100.127
ชัยนาท,มโนรมย์,คุ้งสำเภา,15.291,100.091
ชัยนาท,วัดสิงห์,วัดสิงห์,15.263,100.041
ชัยนาท,สรรพยา,สรรพยา,15.128,100.233
ชัยนาท,สรรคบุรี,แพรกศรีราชา,15.062,100.107
ชัยนาท,หันคา,หันคา,15.016,99.998
ชัยนาท,หนองมะโมง,หนองมะโมง,15.216,99.772
ชัยนาท,เนินขาม,เนินขาม,14.957,99.901
สระบุรี,เมืองสระบุรี,ปากเพรียว,14.527,100.915
สระบุรี,แก่งคอย,แก่งคอย,14.586,101.002
สระบุรี,หนองแค,หนองแค,14.337,100.869
สระบุรี,วิหารแดง,วิหารแดง,14.313,100.990
สระบุรี,หนองแซง,หนองแซง,14.510,100.759
